parcode,trial,fix_item,fix_time
mar,35,3,702.000000
mar,35,0,176.000000
mar,35,1,132.000000
mar,35,0,74.000000
mar,35,2,180.000000
mar,35,0,568.000000
mar,35,1,1030.000000
mar,36,3,722.000000
mar,36,0,48.000000
mar,36,1,1402.000000
mar,37,3,536.000000
mar,37,0,52.000000
mar,37,1,186.000000
mar,37,0,818.000000
mar,38,3,540.000000
mar,38,0,354.000000
mar,38,2,172.000000
mar,38,0,388.000000
mar,39,3,706.000000
mar,39,0,52.000000
mar,39,1,190.000000
mar,39,0,72.000000
mar,39,2,182.000000
mar,39,0,450.000000
mar,40,3,682.000000
mar,40,0,50.000000
mar,40,1,174.000000
mar,40,0,184.000000
mar,40,2,174.000000
mar,40,0,552.000000
mar,41,3,664.000000
mar,41,0,396.000000
mar,41,2,2110.000000
mar,41,0,178.000000
mar,42,3,672.000000
mar,42,0,292.000000
mar,42,2,174.000000
mar,42,0,372.000000
mar,42,1,166.000000
mar,42,0,558.000000
mar,43,3,496.000000
mar,43,0,310.000000
mar,43,2,170.000000
mar,43,0,404.000000
mar,44,3,670.000000
mar,44,0,320.000000
mar,44,2,160.000000
mar,44,0,604.000000
mar,45,3,688.000000
mar,45,0,1172.000000
mar,45,1,1832.000000
mar,46,3,690.000000
mar,46,0,298.000000
mar,46,2,114.000000
mar,46,0,348.000000
mar,47,3,500.000000
mar,47,0,320.000000
mar,47,2,202.000000
mar,47,0,1170.000000
mar,48,3,682.000000
mar,48,0,288.000000
mar,48,2,258.000000
mar,48,0,348.000000
mar,48,1,620.000000
mar,48,0,732.000000
mar,49,3,796.000000
mar,49,0,210.000000
mar,49,1,260.000000
mar,49,0,566.000000
mar,49,2,46.000000
mar,49,0,70.000000
mar,49,1,734.000000
mar,49,0,80.000000
mar,49,2,136.000000
mar,49,0,1156.000000
mar,50,3,512.000000
mar,50,0,330.000000
mar,50,2,154.000000
mar,50,0,434.000000
mar,50,1,878.000000
mar,51,3,692.000000
mar,51,0,76.000000
mar,51,1,880.000000
mar,52,3,520.000000
mar,52,0,178.000000
mar,52,1,120.000000
mar,52,0,74.000000
mar,52,2,166.000000
mar,52,0,448.000000
mar,53,3,532.000000
mar,53,0,52.000000
mar,53,1,268.000000
mar,53,0,76.000000
mar,53,2,160.000000
mar,53,0,496.000000
mar,53,1,118.000000
mar,54,3,728.000000
mar,54,0,340.000000
mar,54,2,114.000000
mar,54,0,926.000000
mar,55,3,910.000000
mar,55,0,48.000000
mar,55,2,308.000000
mar,55,0,88.000000
mar,55,1,402.000000
mar,55,0,176.000000
mar,56,3,918.000000
mar,56,0,346.000000
mar,56,2,190.000000
mar,56,0,824.000000
mar,57,3,724.000000
mar,57,0,300.000000
mar,57,2,106.000000
mar,57,0,476.000000
mar,58,3,480.000000
mar,58,0,336.000000
mar,58,2,142.000000
mar,58,0,1028.000000
mar,59,3,682.000000
mar,59,0,402.000000
mar,59,2,146.000000
mar,59,0,1106.000000
mar,60,3,510.000000
mar,60,0,312.000000
mar,60,2,286.000000
mar,60,0,722.000000
mar,61,3,686.000000
mar,61,0,292.000000
mar,61,2,178.000000
mar,61,0,360.000000
mar,62,3,682.000000
mar,62,0,354.000000
mar,62,2,146.000000
mar,62,0,804.000000
mar,63,3,512.000000
mar,63,0,358.000000
mar,63,2,124.000000
mar,63,0,490.000000
mar,64,3,510.000000
mar,64,0,52.000000
mar,64,1,266.000000
mar,64,0,76.000000
mar,64,2,136.000000
mar,64,0,348.000000
mar,65,3,672.000000
mar,65,0,400.000000
mar,65,2,164.000000
mar,65,0,958.000000
mar,66,3,662.000000
mar,66,0,362.000000
mar,66,2,184.000000
mar,66,0,430.000000
mar,67,3,708.000000
mar,67,0,44.000000
mar,67,2,102.000000
mar,67,0,278.000000
mar,67,1,194.000000
mar,67,0,138.000000
mar,68,3,500.000000
mar,68,0,338.000000
mar,68,2,130.000000
mar,68,0,322.000000
mar,69,3,672.000000
mar,69,0,54.000000
mar,69,2,104.000000
mar,69,0,462.000000
mar,69,1,398.000000
mar,69,0,462.000000
mar,70,3,660.000000
mar,70,0,386.000000
mar,70,2,270.000000
mar,70,0,414.000000
mar,71,3,510.000000
mar,71,0,50.000000
mar,71,1,1896.000000
mar,72,3,656.000000
mar,72,0,56.000000
mar,72,1,352.000000
mar,72,0,362.000000
mar,73,3,682.000000
mar,73,0,52.000000
mar,73,1,212.000000
mar,73,0,1174.000000
mar,74,3,686.000000
mar,74,0,50.000000
mar,74,1,252.000000
mar,74,0,80.000000
mar,74,2,142.000000
mar,74,0,766.000000
mar,75,3,514.000000
mar,75,0,48.000000
mar,75,1,538.000000
mar,75,0,1010.000000
mar,76,3,718.000000
mar,76,0,48.000000
mar,76,1,480.000000
mar,76,0,832.000000
mar,77,3,714.000000
mar,77,0,48.000000
mar,77,1,322.000000
mar,77,0,836.000000
mar,78,3,666.000000
mar,78,0,336.000000
mar,78,2,152.000000
mar,78,0,372.000000
mar,78,1,736.000000
mar,78,0,1562.000000
mar,79,3,656.000000
mar,79,0,50.000000
mar,79,1,380.000000
mar,79,0,72.000000
mar,79,2,130.000000
mar,79,0,592.000000
mar,79,1,288.000000
mar,79,0,76.000000
mar,79,2,324.000000
mar,79,0,492.000000
mar,80,3,696.000000
mar,80,0,368.000000
mar,80,2,136.000000
mar,80,0,614.000000
mar,80,1,1268.000000
mar,80,0,78.000000
mar,80,2,180.000000
mar,80,0,474.000000
mar,81,3,494.000000
mar,81,0,412.000000
mar,81,2,128.000000
mar,81,0,792.000000
mar,82,3,722.000000
mar,82,0,48.000000
mar,82,1,328.000000
mar,82,0,78.000000
mar,82,2,304.000000
mar,82,0,218.000000
mar,83,3,592.000000
mar,83,0,52.000000
mar,83,1,268.000000
mar,83,0,936.000000
mar,84,3,488.000000
mar,84,0,204.000000
mar,84,1,62.000000
mar,84,0,74.000000
mar,84,2,146.000000
mar,84,0,810.000000
mar,84,1,440.000000
mar,84,0,502.000000
mar,85,3,694.000000
mar,85,0,388.000000
mar,85,2,770.000000
mar,85,0,260.000000
mar,86,3,696.000000
mar,86,0,180.000000
mar,86,1,148.000000
mar,86,0,78.000000
mar,86,2,210.000000
mar,86,0,308.000000
mar,87,3,516.000000
mar,87,0,352.000000
mar,87,2,164.000000
mar,87,0,550.000000
mar,87,1,250.000000
mar,88,3,490.000000
mar,88,0,350.000000
mar,88,2,128.000000
mar,88,0,948.000000
mar,89,3,680.000000
mar,89,0,50.000000
mar,89,1,192.000000
mar,89,0,66.000000
mar,89,2,376.000000
mar,89,0,78.000000
mar,89,1,824.000000
mar,90,0,796.000000
mar,90,1,330.000000
mar,90,0,70.000000
mar,90,2,128.000000
mar,90,0,442.000000
